model,f1_macro,precision_macro,recall_macro,accuracy
Majority,0.39660657476139977,0.3286467486818981,0.5,0.6572934973637962
Lexikon,0.5366277993707199,0.7174366422732437,0.566713515242927,0.6939074399531342
RandomForest+TF-IDF,0.45068382944489144,0.7658378879262627,0.524694912930207,0.6728178090216754
LogReg+TF-IDF,0.5284530386740331,0.6776446189986786,0.5589880707527766,0.6848271821909784
SVM+TF-IDF,0.6234663614961933,0.6577236788334704,0.6192204853969561,0.6962507322788518
